# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
10000 40 5759.999999999998
  1 0.0125 144.06 273.06
  2 0.0375 143.79 271.867
  3 0.0625 142.38 269.825
  4 0.0875 143.76 268.622
  5 0.1125 143.3 269.173
  6 0.1375 143.2 268.943
  7 0.1625 142.91 269.487
  8 0.1875 143.73 269.818
  9 0.2125 144.03 272.184
  10 0.2375 144.74 271.251
  11 0.2625 143.64 270.01
  12 0.2875 143.68 269.584
  13 0.3125 143.77 270.116
  14 0.3375 144.65 268.524
  15 0.3625 143.71 269.22
  16 0.3875 144.11 267.308
  17 0.4125 144.24 271.797
  18 0.4375 144.45 270.017
  19 0.4625 144.25 266.708
  20 0.4875 144.23 269.994
  21 0.5125 143.9 272.073
  22 0.5375 143.75 272.827
  23 0.5625 144.44 281.411
  24 0.5875 144.25 291.023
  25 0.6125 144.54 291.864
  26 0.6375 144.12 288.794
  27 0.6625 144.23 288.25
  28 0.6875 144.25 292.989
  29 0.7125 144.28 296.191
  30 0.7375 144.1 299.815
  31 0.7625 143.61 298.802
  32 0.7875 144.01 300.678
  33 0.8125 144.46 298.259
  34 0.8375 144.68 300.965
  35 0.8625 143.94 302.625
  36 0.8875 144.15 290.852
  37 0.9125 144.86 289.137
  38 0.9375 143.69 291.809
  39 0.9625 143.65 286.931
  40 0.9875 144.46 276.863
20000 40 5760
  1 0.0125 143.4 273.801
  2 0.0375 144.25 270.142
  3 0.0625 143.92 268.102
  4 0.0875 144.45 268.193
  5 0.1125 144.81 272.697
  6 0.1375 143.92 271.692
  7 0.1625 143.78 269.745
  8 0.1875 143.57 272.715
  9 0.2125 143.91 269.084
  10 0.2375 144.08 269.821
  11 0.2625 143.3 265.961
  12 0.2875 143.68 269.178
  13 0.3125 143.57 270.654
  14 0.3375 143.62 270.372
  15 0.3625 144.34 269.966
  16 0.3875 143.32 266.349
  17 0.4125 143.1 271.166
  18 0.4375 143.73 268.991
  19 0.4625 143.51 270.801
  20 0.4875 144.44 271.074
  21 0.5125 143.97 269.852
  22 0.5375 143.56 273.887
  23 0.5625 144.71 274.998
  24 0.5875 143.72 273.932
  25 0.6125 144.19 272.027
  26 0.6375 144 276.664
  27 0.6625 144.07 282.966
  28 0.6875 144.13 289.45
  29 0.7125 144.32 280.854
  30 0.7375 143.74 278.159
  31 0.7625 144.38 273.901
  32 0.7875 144.78 274.991
  33 0.8125 143.64 278.868
  34 0.8375 145.09 281.456
  35 0.8625 143.45 281.968
  36 0.8875 143.85 284.24
  37 0.9125 144.75 282.101
  38 0.9375 144.12 280.297
  39 0.9625 143.88 278.277
  40 0.9875 144.95 272.727
30000 40 5759.999999999999
  1 0.0125 144.66 268.667
  2 0.0375 144.55 270.006
  3 0.0625 143.55 270.97
  4 0.0875 144.13 270.176
  5 0.1125 144.06 265.65
  6 0.1375 143.79 272.036
  7 0.1625 144.07 271.967
  8 0.1875 143.98 272.598
  9 0.2125 143.67 268.819
  10 0.2375 143.29 270.323
  11 0.2625 144.21 268.826
  12 0.2875 143.45 268.683
  13 0.3125 143.45 270.186
  14 0.3375 143.91 267.705
  15 0.3625 143.73 269.111
  16 0.3875 143.29 270.62
  17 0.4125 144.1 272.416
  18 0.4375 143.39 274.781
  19 0.4625 143.93 269.352
  20 0.4875 144.1 267.231
  21 0.5125 144.03 270.37
  22 0.5375 144.46 268.356
  23 0.5625 144.02 269.238
  24 0.5875 144.37 273.248
  25 0.6125 144.36 273.791
  26 0.6375 143.94 274.216
  27 0.6625 144.74 278.87
  28 0.6875 143.46 273.521
  29 0.7125 144.39 275.479
  30 0.7375 143.7 278.494
  31 0.7625 144.06 276.87
  32 0.7875 144.4 274.848
  33 0.8125 143.35 277.951
  34 0.8375 144.87 280.918
  35 0.8625 144.23 278.726
  36 0.8875 144.14 278.02
  37 0.9125 143.48 273.091
  38 0.9375 144.47 274.819
  39 0.9625 144.23 275.423
  40 0.9875 143.99 272.82
40000 40 5760
  1 0.0125 143.87 269.608
  2 0.0375 144.19 270.171
  3 0.0625 143.35 269.115
  4 0.0875 145 270.299
  5 0.1125 143.15 270.558
  6 0.1375 144.49 267.268
  7 0.1625 144.71 269.777
  8 0.1875 143.56 269.887
  9 0.2125 143.9 268.41
  10 0.2375 143.5 267.864
  11 0.2625 143.83 268.875
  12 0.2875 143.12 270.006
  13 0.3125 143.27 271.331
  14 0.3375 143.51 269.06
  15 0.3625 143.6 268.598
  16 0.3875 144.12 271.948
  17 0.4125 143.74 270.986
  18 0.4375 143.8 271.458
  19 0.4625 144.43 270.208
  20 0.4875 144.13 270.211
  21 0.5125 144.26 271.433
  22 0.5375 144.02 270.852
  23 0.5625 144.67 273.781
  24 0.5875 143.58 276.581
  25 0.6125 143.81 274.411
  26 0.6375 144.7 273.537
  27 0.6625 143.59 269.78
  28 0.6875 144.9 277.053
  29 0.7125 143.75 272.721
  30 0.7375 144.42 269.168
  31 0.7625 144.01 273.473
  32 0.7875 143.61 274.742
  33 0.8125 144.64 275.119
  34 0.8375 144.14 276.967
  35 0.8625 144.42 277.595
  36 0.8875 143.85 279.024
  37 0.9125 144.29 272.705
  38 0.9375 144.04 274.631
  39 0.9625 144.21 266.017
  40 0.9875 143.82 269.577
50000 40 5760.000000000001
  1 0.0125 144.67 275.112
  2 0.0375 144.1 268.656
  3 0.0625 143.81 273.025
  4 0.0875 144.18 270.95
  5 0.1125 143.6 270.33
  6 0.1375 145.52 268.587
  7 0.1625 143.92 269.28
  8 0.1875 143.79 270.663
  9 0.2125 143.98 270.391
  10 0.2375 143.75 271.042
  11 0.2625 143.54 271.089
  12 0.2875 144.12 272.155
  13 0.3125 143.21 272.017
  14 0.3375 143.46 271.79
  15 0.3625 144.1 270.482
  16 0.3875 143.96 270.604
  17 0.4125 143.35 270.734
  18 0.4375 143.71 269.379
  19 0.4625 144.26 268.391
  20 0.4875 143.32 273.305
  21 0.5125 143.8 268.47
  22 0.5375 144.23 271.904
  23 0.5625 143.76 277.08
  24 0.5875 144.32 275.604
  25 0.6125 143.88 274.974
  26 0.6375 144.75 276.32
  27 0.6625 143.88 268.167
  28 0.6875 144.13 271.934
  29 0.7125 143.67 267.561
  30 0.7375 144.15 273.436
  31 0.7625 143.85 275.235
  32 0.7875 144.56 274.202
  33 0.8125 144.04 271.003
  34 0.8375 144.13 266.407
  35 0.8625 143.27 274.629
  36 0.8875 144.91 272.556
  37 0.9125 143.93 271.663
  38 0.9375 144.37 272.115
  39 0.9625 144.37 275.757
  40 0.9875 143.65 268.654
60000 40 5760
  1 0.0125 144.02 271.813
  2 0.0375 143.95 269.497
  3 0.0625 143.79 269.534
  4 0.0875 143.31 268.234
  5 0.1125 143.8 268.616
  6 0.1375 143.83 269.019
  7 0.1625 143.58 269.379
  8 0.1875 143.97 270.893
  9 0.2125 144.18 266.54
  10 0.2375 143.5 270.716
  11 0.2625 144.42 268.929
  12 0.2875 143.9 269.554
  13 0.3125 144.39 269.841
  14 0.3375 143.97 269.882
  15 0.3625 144.43 269.083
  16 0.3875 143.18 272.251
  17 0.4125 144.34 267.326
  18 0.4375 143.85 271.745
  19 0.4625 143.06 273.891
  20 0.4875 143.78 268.33
  21 0.5125 144.22 270.17
  22 0.5375 143.48 269.081
  23 0.5625 144.76 271.233
  24 0.5875 143.07 272.566
  25 0.6125 144.93 268.188
  26 0.6375 143.15 269.027
  27 0.6625 144.25 272.049
  28 0.6875 144.31 268.815
  29 0.7125 144.08 267.588
  30 0.7375 144.76 268.613
  31 0.7625 143.67 274.034
  32 0.7875 144.89 265.833
  33 0.8125 144.14 267.068
  34 0.8375 144.28 267.603
  35 0.8625 144.71 269.225
  36 0.8875 143.61 270.046
  37 0.9125 144.17 264.186
  38 0.9375 143.53 258.126
  39 0.9625 144.65 264.02
  40 0.9875 144.09 261.767
70000 40 5760.000000000001
  1 0.0125 144.14 267.805
  2 0.0375 144.14 269.437
  3 0.0625 144.53 272.052
  4 0.0875 143.54 270.785
  5 0.1125 144.13 268.155
  6 0.1375 143.8 272.533
  7 0.1625 144.18 270.136
  8 0.1875 143.93 270.148
  9 0.2125 144.47 267.755
  10 0.2375 143.59 271.317
  11 0.2625 144.53 273.744
  12 0.2875 143.99 272.649
  13 0.3125 144.64 271.322
  14 0.3375 144.06 269.668
  15 0.3625 144.43 268.819
  16 0.3875 143.62 267.798
  17 0.4125 143.85 267.865
  18 0.4375 143.78 272.634
  19 0.4625 144.03 271.321
  20 0.4875 143.88 274.984
  21 0.5125 144.29 271.449
  22 0.5375 144.32 272.345
  23 0.5625 143.77 270.785
  24 0.5875 144 268.582
  25 0.6125 143.63 266.711
  26 0.6375 143.84 266.852
  27 0.6625 143.91 269.166
  28 0.6875 143.69 271.069
  29 0.7125 144.15 272.776
  30 0.7375 143.76 276.297
  31 0.7625 144.8 271.828
  32 0.7875 143.67 270.624
  33 0.8125 144.04 269.63
  34 0.8375 143.93 269.91
  35 0.8625 143.71 272.286
  36 0.8875 143.97 268.598
  37 0.9125 143.68 267.926
  38 0.9375 144.57 273.874
  39 0.9625 143.44 274.809
  40 0.9875 143.57 267.766
80000 40 5759.999999999999
  1 0.0125 144.17 270.441
  2 0.0375 144.14 269.045
  3 0.0625 143.28 268.821
  4 0.0875 144.73 267.686
  5 0.1125 143.8 273.717
  6 0.1375 144.71 275.946
  7 0.1625 143.81 271.558
  8 0.1875 144.31 271.761
  9 0.2125 143.61 271.439
  10 0.2375 144.29 271.757
  11 0.2625 144.95 267.555
  12 0.2875 143.53 272.24
  13 0.3125 144.01 268.735
  14 0.3375 144.57 270.606
  15 0.3625 143.25 270.557
  16 0.3875 143.68 273.264
  17 0.4125 144.46 270.879
  18 0.4375 144.43 273.337
  19 0.4625 143.22 268.264
  20 0.4875 144.06 270.205
  21 0.5125 143.69 270.63
  22 0.5375 144.24 271.226
  23 0.5625 143.79 268.473
  24 0.5875 143.86 268.204
  25 0.6125 144.1 268.771
  26 0.6375 144.04 273.319
  27 0.6625 143.41 272.436
  28 0.6875 144.51 274.7
  29 0.7125 143.74 270.793
  30 0.7375 143.78 269.096
  31 0.7625 144.27 268.981
  32 0.7875 142.88 269.116
  33 0.8125 144.37 269.92
  34 0.8375 143.79 271.297
  35 0.8625 144.32 265.377
  36 0.8875 143.95 267.21
  37 0.9125 144.17 270.8
  38 0.9375 143.93 272.032
  39 0.9625 143.79 269.063
  40 0.9875 144.36 270.061
90000 40 5760.000000000001
  1 0.0125 144.2 273.113
  2 0.0375 143.49 270.241
  3 0.0625 144.06 270.999
  4 0.0875 143.65 270.953
  5 0.1125 143.23 265.513
  6 0.1375 143.88 268.591
  7 0.1625 144.04 272.061
  8 0.1875 142.76 273.152
  9 0.2125 144.86 272.868
  10 0.2375 142.82 270.21
  11 0.2625 143.59 271.284
  12 0.2875 143.88 269.866
  13 0.3125 144.36 267.407
  14 0.3375 143.68 269.796
  15 0.3625 143.54 270.901
  16 0.3875 144.03 270.168
  17 0.4125 144 272.487
  18 0.4375 143.75 273.248
  19 0.4625 144.99 270.058
  20 0.4875 144.03 274.549
  21 0.5125 144.05 268.026
  22 0.5375 144.26 270.648
  23 0.5625 143.73 275.463
  24 0.5875 143.89 277.015
  25 0.6125 145.09 273.593
  26 0.6375 143.58 268.562
  27 0.6625 143.99 266.893
  28 0.6875 144.18 269.614
  29 0.7125 144.06 273.215
  30 0.7375 143.73 278.486
  31 0.7625 144.75 271.002
  32 0.7875 144.04 275.631
  33 0.8125 144.81 275.062
  34 0.8375 143.51 272.403
  35 0.8625 144.35 270.827
  36 0.8875 144.14 273.586
  37 0.9125 144.04 268.796
  38 0.9375 144.21 272.002
  39 0.9625 144.49 275.321
  40 0.9875 144.26 280.019
100000 40 5760.000000000001
  1 0.0125 144.24 271.16
  2 0.0375 143.3 275.399
  3 0.0625 144.75 271.504
  4 0.0875 143.8 273.389
  5 0.1125 143.78 271.514
  6 0.1375 144.07 271.321
  7 0.1625 143.92 270.912
  8 0.1875 144.02 270.82
  9 0.2125 144.34 271.419
  10 0.2375 144.3 269.517
  11 0.2625 144.32 272.707
  12 0.2875 144.05 268.667
  13 0.3125 144.69 270.358
  14 0.3375 144.02 269.334
  15 0.3625 143.81 270.858
  16 0.3875 143.65 269.554
  17 0.4125 144.03 269
  18 0.4375 143.4 269.449
  19 0.4625 144.03 269.117
  20 0.4875 143.46 267.912
  21 0.5125 144.1 267.834
  22 0.5375 144.19 270.907
  23 0.5625 143.51 274.343
  24 0.5875 144.09 277.994
  25 0.6125 143.68 278.516
  26 0.6375 143.77 282.39
  27 0.6625 144.48 282.838
  28 0.6875 143.47 276.559
