# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
210000 40 5759.999999999999
  1 0.0125 143.77 269.824
  2 0.0375 143.92 268.829
  3 0.0625 144.47 270.942
  4 0.0875 143.97 270.936
  5 0.1125 144.38 271.343
  6 0.1375 144.16 273.587
  7 0.1625 143.84 268.575
  8 0.1875 144.15 270.144
  9 0.2125 143.91 268.106
  10 0.2375 144.29 269.29
  11 0.2625 143.87 270.537
  12 0.2875 143.99 269.119
  13 0.3125 143.99 271.883
  14 0.3375 143.99 266.56
  15 0.3625 143.57 269.002
  16 0.3875 144.04 272.105
  17 0.4125 144.1 270.544
  18 0.4375 144 272.171
  19 0.4625 144.33 270.932
  20 0.4875 143.57 269.327
  21 0.5125 144.24 267.326
  22 0.5375 143.42 268.537
  23 0.5625 144.25 274.122
  24 0.5875 143.81 267.783
  25 0.6125 144.4 265.358
  26 0.6375 144.28 264.609
  27 0.6625 143.81 266.948
  28 0.6875 144.03 264.35
  29 0.7125 143.76 269.932
  30 0.7375 143.69 267.117
  31 0.7625 144.19 266.171
  32 0.7875 143.87 263.828
  33 0.8125 143.87 264.803
  34 0.8375 144.24 269.106
  35 0.8625 143.92 269.388
  36 0.8875 143.91 264.251
  37 0.9125 144.12 268.636
  38 0.9375 143.71 269.588
  39 0.9625 144.38 270.932
  40 0.9875 143.79 269.798
220000 40 5760
  1 0.0125 144.17 271.002
  2 0.0375 144.05 270.057
  3 0.0625 143.93 268.729
  4 0.0875 143.89 269.987
  5 0.1125 143.47 274.517
  6 0.1375 144.15 268.297
  7 0.1625 143.87 271.595
  8 0.1875 143.42 270.451
  9 0.2125 143.66 271.529
  10 0.2375 143.3 270.777
  11 0.2625 143.95 267.633
  12 0.2875 143.41 269.848
  13 0.3125 144.24 272.706
  14 0.3375 144.12 268.576
  15 0.3625 144.21 270.094
  16 0.3875 144.12 272.487
  17 0.4125 144.47 266.512
  18 0.4375 144.46 268.404
  19 0.4625 144.3 266.789
  20 0.4875 143.93 270.673
  21 0.5125 144.17 267.917
  22 0.5375 143.97 270.653
  23 0.5625 143.72 268.332
  24 0.5875 144.6 271.169
  25 0.6125 143.65 269.436
  26 0.6375 144.61 275.283
  27 0.6625 143.89 271.244
  28 0.6875 144.76 269.021
  29 0.7125 143.55 273.182
  30 0.7375 144.07 272.368
  31 0.7625 143.85 277.677
  32 0.7875 144.42 274.36
  33 0.8125 143.48 270.688
  34 0.8375 144.82 275.384
  35 0.8625 143.25 273.089
  36 0.8875 144.15 273.731
  37 0.9125 144.14 277.204
  38 0.9375 144.05 270.569
  39 0.9625 144.17 274.125
  40 0.9875 143.56 268
230000 40 5760
  1 0.0125 143.52 268.016
  2 0.0375 144.1 270.972
  3 0.0625 143.81 267.344
  4 0.0875 143.51 269.291
  5 0.1125 143.74 271.447
  6 0.1375 143.8 271.191
  7 0.1625 144.11 271.551
  8 0.1875 143.44 269.934
  9 0.2125 144.1 269.389
  10 0.2375 144.06 269.55
  11 0.2625 143.32 268.39
  12 0.2875 143.45 271.111
  13 0.3125 144.97 268.611
  14 0.3375 143.86 270.276
  15 0.3625 144.47 273.619
  16 0.3875 143.8 270.479
  17 0.4125 144.71 266.745
  18 0.4375 145.14 271.833
  19 0.4625 143.5 273.12
  20 0.4875 144.87 272.204
  21 0.5125 143.75 270.114
  22 0.5375 143.6 272.734
  23 0.5625 143.69 265.539
  24 0.5875 144.02 272.597
  25 0.6125 144.24 271.685
  26 0.6375 144.28 272.269
  27 0.6625 144.36 274.309
  28 0.6875 144.2 269.785
  29 0.7125 143.72 273.696
  30 0.7375 143.98 271.374
  31 0.7625 144.06 269.906
  32 0.7875 144.2 270.375
  33 0.8125 143.88 264.499
  34 0.8375 144.05 268.92
  35 0.8625 143.99 267.687
  36 0.8875 144.1 272.993
  37 0.9125 143.48 273.214
  38 0.9375 144.11 270.114
  39 0.9625 143.58 267.815
  40 0.9875 144.43 267.671
240000 40 5760.000000000002
  1 0.0125 144.54 268.016
  2 0.0375 143.56 269.247
  3 0.0625 143.24 268.581
  4 0.0875 144.13 272.639
  5 0.1125 142.82 270.829
  6 0.1375 143.85 267.492
  7 0.1625 144.36 274.246
  8 0.1875 143.51 271.349
  9 0.2125 143.86 268.459
  10 0.2375 144.62 269.867
  11 0.2625 143.33 272.461
  12 0.2875 144.07 270.402
  13 0.3125 144.39 270.041
  14 0.3375 143.79 265.196
  15 0.3625 143.69 269.238
  16 0.3875 144.24 269.438
  17 0.4125 144.2 269.695
  18 0.4375 144 269.821
  19 0.4625 144.2 266.316
  20 0.4875 143.66 268.084
  21 0.5125 144.6 269.845
  22 0.5375 143.76 269.31
  23 0.5625 144.26 264.301
  24 0.5875 144.33 262.365
  25 0.6125 144.48 261.924
  26 0.6375 143.97 261.403
  27 0.6625 144.35 267.804
  28 0.6875 143.75 268.578
  29 0.7125 144.1 269.868
  30 0.7375 144.01 269.114
  31 0.7625 143.8 270.409
  32 0.7875 144.27 263.277
  33 0.8125 143.66 263.231
  34 0.8375 144.39 263.73
  35 0.8625 143.85 265.36
  36 0.8875 144.52 266.394
