# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
205000 40 5760
  1 0.0125 143.52 288.841
  2 0.0375 144.298 294.299
  3 0.0625 144.456 293.561
  4 0.0875 144.386 292.433
  5 0.1125 143.588 299.681
  6 0.1375 144.136 297.09
  7 0.1625 144.282 292.395
  8 0.1875 144.004 288.963
  9 0.2125 144.16 291.03
  10 0.2375 143.93 290.673
  11 0.2625 143.332 299.762
  12 0.2875 143.938 308.618
  13 0.3125 144.07 312.238
  14 0.3375 143.638 303.226
  15 0.3625 143.68 300.366
  16 0.3875 144.018 298.726
  17 0.4125 143.356 303.18
  18 0.4375 144.332 301.939
  19 0.4625 143.724 308.182
  20 0.4875 144.074 306.188
  21 0.5125 143.542 312.276
  22 0.5375 143.466 308.325
  23 0.5625 144.426 316.703
  24 0.5875 143.998 314.454
  25 0.6125 144.254 307.529
  26 0.6375 144.078 310.312
  27 0.6625 143.304 314.369
  28 0.6875 144.726 314.47
  29 0.7125 143.846 309.067
  30 0.7375 144.282 305.22
  31 0.7625 143.592 302.972
  32 0.7875 144.86 299.426
  33 0.8125 144.278 303.231
  34 0.8375 144.354 299.945
  35 0.8625 143.96 297.054
  36 0.8875 143.582 297.532
  37 0.9125 144.008 302.673
  38 0.9375 144.346 303.224
  39 0.9625 144.91 297.999
  40 0.9875 143.266 292.225
210000 40 5760
  1 0.0125 144.396 294.5
  2 0.0375 144.084 295.028
  3 0.0625 143.928 297.824
  4 0.0875 144.228 294.436
  5 0.1125 143.56 302.095
  6 0.1375 144.168 303.54
  7 0.1625 143.728 300.316
  8 0.1875 143.756 303.104
  9 0.2125 143.81 299.916
  10 0.2375 143.644 302.623
  11 0.2625 144.478 303.48
  12 0.2875 143.6 302.672
  13 0.3125 144.436 306.146
  14 0.3375 144.262 306.982
  15 0.3625 144.302 310.155
  16 0.3875 143.91 306.7
  17 0.4125 144.028 304.338
  18 0.4375 143.882 304.701
  19 0.4625 143.99 311.295
  20 0.4875 143.56 309.807
  21 0.5125 144.338 306.539
  22 0.5375 143.348 304.458
  23 0.5625 144.308 302.822
  24 0.5875 143.904 305.618
  25 0.6125 144.39 299.915
  26 0.6375 143.408 302.388
  27 0.6625 144.326 302.942
  28 0.6875 143.628 306.038
  29 0.7125 144.256 301.422
  30 0.7375 144.078 294.074
  31 0.7625 143.782 294.179
  32 0.7875 143.962 296.071
  33 0.8125 144.094 295.532
  34 0.8375 143.838 303.018
  35 0.8625 143.898 300.298
  36 0.8875 144.384 298.586
  37 0.9125 143.82 299.165
  38 0.9375 144.056 299.343
  39 0.9625 144.334 304.843
  40 0.9875 144.098 300.271
215000 40 5760
  1 0.0125 143.89 290.156
  2 0.0375 144.55 288.67
  3 0.0625 143.796 292.877
  4 0.0875 144.01 293.443
  5 0.1125 144.174 291.492
  6 0.1375 144.158 289.671
  7 0.1625 143.828 293.499
  8 0.1875 144.15 284.698
  9 0.2125 144.224 285.97
  10 0.2375 143.236 301.303
  11 0.2625 144.798 301.327
  12 0.2875 143.892 299.721
  13 0.3125 144.022 303.064
  14 0.3375 144.284 296.446
  15 0.3625 143.88 305.291
  16 0.3875 144.068 313.127
  17 0.4125 144.244 311.044
  18 0.4375 143.864 315.383
  19 0.4625 143.57 322.116
  20 0.4875 144.296 316.237
  21 0.5125 143.812 319.446
  22 0.5375 144.068 308.961
  23 0.5625 143.488 307.484
  24 0.5875 143.68 307.448
  25 0.6125 144.148 307.589
  26 0.6375 143.688 308.929
  27 0.6625 144.308 305.861
  28 0.6875 144.02 310.634
  29 0.7125 144.99 307.658
  30 0.7375 143.278 300.76
  31 0.7625 144.342 304.832
  32 0.7875 143.902 297.721
  33 0.8125 144.174 296.384
  34 0.8375 143.75 300.513
  35 0.8625 144.186 299.202
  36 0.8875 143.954 301.612
  37 0.9125 144.032 302.093
  38 0.9375 143.294 302.392
  39 0.9625 144.594 298.547
  40 0.9875 143.358 296.011
220000 40 5759.999999999999
  1 0.0125 144.5 285.597
  2 0.0375 144.078 288.015
  3 0.0625 143.238 293.75
  4 0.0875 144.854 294.462
  5 0.1125 143.96 295.842
  6 0.1375 143.828 305.448
  7 0.1625 144.386 306.807
  8 0.1875 144.12 298.469
  9 0.2125 144.312 296.251
  10 0.2375 143.524 302.892
  11 0.2625 144.612 298.917
  12 0.2875 143.622 294.636
  13 0.3125 144.138 292.883
  14 0.3375 144.656 293.205
  15 0.3625 144.05 305.336
  16 0.3875 144.22 311.934
  17 0.4125 143.838 311.365
  18 0.4375 143.608 311.701
  19 0.4625 143.966 310.803
  20 0.4875 144 308.216
  21 0.5125 144.828 309.455
  22 0.5375 144.456 312.445
  23 0.5625 143.624 310.691
  24 0.5875 144.388 313.364
  25 0.6125 144.016 314.477
  26 0.6375 143.874 314.84
  27 0.6625 143.396 316.461
  28 0.6875 143.888 313.008
  29 0.7125 143.704 314.184
  30 0.7375 143.712 302.1
  31 0.7625 143.622 300.667
  32 0.7875 143.722 302.273
  33 0.8125 143.612 304.5
  34 0.8375 144.186 290.997
  35 0.8625 143.872 290.504
  36 0.8875 143.714 293.307
  37 0.9125 144.15 291.606
  38 0.9375 144.06 290.884
