# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
5000 40 8639.999999999998
  1 0.0125 215.258 297.405
  2 0.0375 216.3 294.445
  3 0.0625 216.088 299.382
  4 0.0875 215.266 292.611
  5 0.1125 216.444 295.649
  6 0.1375 215.52 288.402
  7 0.1625 216.368 297.043
  8 0.1875 215.796 296.838
  9 0.2125 216.09 299.327
  10 0.2375 216.31 293.887
  11 0.2625 215.846 291.387
  12 0.2875 216.146 291.763
  13 0.3125 215.666 300.053
  14 0.3375 216.808 300.679
  15 0.3625 215.352 298.615
  16 0.3875 215.658 293.577
  17 0.4125 216.64 292.65
  18 0.4375 215.51 300.09
  19 0.4625 216.054 292.012
  20 0.4875 216.894 295.695
  21 0.5125 215.672 300.124
  22 0.5375 215.19 302.988
  23 0.5625 216.882 297.136
  24 0.5875 215.508 296.004
  25 0.6125 215.428 300.72
  26 0.6375 216.194 302.354
  27 0.6625 215.96 303.648
  28 0.6875 215.984 308.906
  29 0.7125 215.65 304.889
  30 0.7375 215.862 304.467
  31 0.7625 216.132 305.334
  32 0.7875 216.184 302.788
  33 0.8125 216.534 292.472
  34 0.8375 215.98 297.314
  35 0.8625 216.358 303.519
  36 0.8875 215.91 301.314
  37 0.9125 215.772 304.249
  38 0.9375 216.128 295.663
  39 0.9625 216.088 293.637
  40 0.9875 216.57 299.087
10000 40 8640
  1 0.0125 216.404 288.505
  2 0.0375 216.684 283.371
  3 0.0625 215.442 295.573
  4 0.0875 216.318 292.206
  5 0.1125 215.68 293.795
  6 0.1375 216.868 293.447
  7 0.1625 215.718 293.468
  8 0.1875 215.768 293.735
  9 0.2125 216.346 297.879
  10 0.2375 216.44 295.759
  11 0.2625 215.996 291.872
  12 0.2875 216.392 292.365
  13 0.3125 215.766 296.025
  14 0.3375 215.464 298.214
  15 0.3625 216.152 302.4
  16 0.3875 215.66 295.948
  17 0.4125 216.04 294.334
  18 0.4375 215.692 296.313
  19 0.4625 215.868 295.397
  20 0.4875 215.648 300.29
  21 0.5125 216.024 302.48
  22 0.5375 215.928 302.593
  23 0.5625 215.26 306.059
  24 0.5875 216.28 307.534
  25 0.6125 214.87 311.467
  26 0.6375 215.492 308.503
  27 0.6625 215.31 304.651
  28 0.6875 216.478 306.372
  29 0.7125 215.814 304.579
  30 0.7375 216.24 300.213
  31 0.7625 215.764 300.667
  32 0.7875 216.316 299.043
  33 0.8125 216.244 303.642
  34 0.8375 216.402 307.19
  35 0.8625 216.386 304.352
  36 0.8875 216.2 299.638
  37 0.9125 216.998 295.836
  38 0.9375 215.6 293.584
  39 0.9625 216.398 293.276
  40 0.9875 215.65 285.561
15000 40 8639.999999999996
  1 0.0125 215.612 285.465
  2 0.0375 216.716 279.395
  3 0.0625 215.428 273.88
  4 0.0875 216.526 276.196
  5 0.1125 215.822 291.876
  6 0.1375 215.982 295.109
  7 0.1625 215.648 297.326
  8 0.1875 216.54 303.758
  9 0.2125 216.102 298.316
  10 0.2375 215.982 295.468
  11 0.2625 216.184 294.319
  12 0.2875 215.788 292.197
  13 0.3125 215.896 293.083
  14 0.3375 215.606 296.144
  15 0.3625 216.086 293.184
  16 0.3875 215.634 295.275
  17 0.4125 215.738 297.944
  18 0.4375 216.218 298.519
  19 0.4625 215.372 299.833
  20 0.4875 215.648 304.594
  21 0.5125 216.04 310.751
  22 0.5375 215.748 312.785
  23 0.5625 216.022 309.848
  24 0.5875 215.168 318.926
  25 0.6125 217.084 309.56
  26 0.6375 216.174 311.791
  27 0.6625 215.64 309.959
  28 0.6875 215.966 307.786
  29 0.7125 216.218 306.209
  30 0.7375 216.074 308.228
  31 0.7625 216.226 308.728
  32 0.7875 216.33 304.109
  33 0.8125 216.414 302.709
  34 0.8375 216.638 300.485
  35 0.8625 216.29 290.839
  36 0.8875 215.98 294.58
  37 0.9125 215.24 286.844
