# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
5000 40 11520
  1 0.0125 287.486 298.038
  2 0.0375 287.616 297.476
  3 0.0625 288.12 296.685
  4 0.0875 287.488 298.461
  5 0.1125 287.87 303.813
  6 0.1375 287.276 298.134
  7 0.1625 287.738 303.716
  8 0.1875 287.744 300.989
  9 0.2125 288.184 291.04
  10 0.2375 287.696 289.895
  11 0.2625 288.664 298.326
  12 0.2875 287.948 298.561
  13 0.3125 287.854 304.304
  14 0.3375 288.8 295.54
  15 0.3625 288.252 295.279
  16 0.3875 288.282 298.336
  17 0.4125 288.084 297.371
  18 0.4375 288.174 296.553
  19 0.4625 287.828 304.017
  20 0.4875 288.81 304.697
  21 0.5125 288.678 299.997
  22 0.5375 288.5 299.033
  23 0.5625 287.662 298.467
  24 0.5875 287.522 308.933
  25 0.6125 287.42 299.514
  26 0.6375 288.498 297.811
  27 0.6625 287.81 299.591
  28 0.6875 288.468 300.3
  29 0.7125 288.246 299.397
  30 0.7375 287.132 297.046
  31 0.7625 288.582 296.443
  32 0.7875 287.202 304.746
  33 0.8125 288.442 296.05
  34 0.8375 287.534 294.282
  35 0.8625 288.13 302.044
  36 0.8875 288.068 294.928
  37 0.9125 287.914 294.391
  38 0.9375 288.342 294.031
  39 0.9625 288.142 299.606
  40 0.9875 287.794 303.075
10000 40 11520.000000000005
  1 0.0125 288.238 293.807
  2 0.0375 288.382 295.378
  3 0.0625 287.89 297.303
  4 0.0875 288.106 293.7
  5 0.1125 287.992 294.884
  6 0.1375 287.622 293.918
  7 0.1625 288.894 298.333
  8 0.1875 288.312 296.119
  9 0.2125 287.772 290.55
  10 0.2375 287.89 295.687
  11 0.2625 288.608 289.801
  12 0.2875 288.34 293.339
  13 0.3125 288.222 294.999
  14 0.3375 288.122 295.398
  15 0.3625 287.66 297.495
  16 0.3875 288.066 306.838
  17 0.4125 288.584 307.618
  18 0.4375 288.15 303.66
  19 0.4625 287.934 309.871
  20 0.4875 287.8 315.582
  21 0.5125 288.56 317.136
  22 0.5375 287.426 311.918
  23 0.5625 287.658 301.342
  24 0.5875 288.678 306.381
  25 0.6125 288.212 310.318
  26 0.6375 287.67 305.808
  27 0.6625 287.964 299.883
  28 0.6875 287.68 298.449
  29 0.7125 288.012 297.776
  30 0.7375 287.914 296.226
  31 0.7625 287.054 293.415
  32 0.7875 287.432 289.226
  33 0.8125 288.24 290.036
  34 0.8375 287.602 293.99
  35 0.8625 287.108 291.469
  36 0.8875 287.93 292.294
  37 0.9125 287.34 301.929
  38 0.9375 288.378 297.88
  39 0.9625 288.234 297.76
  40 0.9875 288.324 291.189
15000 40 11520
  1 0.0125 288.62 289.774
  2 0.0375 288.312 295.477
  3 0.0625 288.112 282.425
  4 0.0875 287.3 288.649
  5 0.1125 288.39 286.226
  6 0.1375 287.376 287.035
  7 0.1625 287.652 293.91
  8 0.1875 288.484 293.597
  9 0.2125 288.462 295.492
  10 0.2375 288.148 305.155
  11 0.2625 288.206 297.742
  12 0.2875 288.502 298.576
  13 0.3125 288.106 292.957
  14 0.3375 287.978 295.115
  15 0.3625 287.898 292.842
  16 0.3875 287.764 294.548
  17 0.4125 287.86 299.079
  18 0.4375 287.966 297.924
  19 0.4625 287.608 302.626
  20 0.4875 287.538 312.596
  21 0.5125 287.9 312.322
  22 0.5375 287.81 313.173
  23 0.5625 287.764 309.354
  24 0.5875 287.92 311.343
  25 0.6125 287.94 308.417
  26 0.6375 287.812 309.614
  27 0.6625 287.732 308.864
  28 0.6875 288.154 313.902
  29 0.7125 288.056 312.373
  30 0.7375 288.302 306.908
  31 0.7625 288.202 302.811
  32 0.7875 288.272 296.627
  33 0.8125 287.444 293.803
  34 0.8375 287.64 297.649
  35 0.8625 287.748 295.045
  36 0.8875 288.914 292.864
  37 0.9125 287.834 288.306
  38 0.9375 288.1 290.916
  39 0.9625 288.478 292.378
  40 0.9875 287.696 290.571
20000 40 11520.000000000002
  1 0.0125 287.794 287.736
  2 0.0375 287.292 283.579
  3 0.0625 288.228 280.941
  4 0.0875 286.98 283.718
  5 0.1125 287.96 288.03
  6 0.1375 287.738 293.142
  7 0.1625 288.29 290.757
  8 0.1875 288.078 294.771
  9 0.2125 287.602 296.404
  10 0.2375 287.814 294.466
  11 0.2625 288.02 298.656
  12 0.2875 287.922 297.966
  13 0.3125 287.63 296.65
  14 0.3375 289.27 294.131
  15 0.3625 287.766 294
  16 0.3875 288.798 306.998
  17 0.4125 288.642 306.125
  18 0.4375 287.89 300.365
  19 0.4625 287.43 302.491
  20 0.4875 288.234 308.706
  21 0.5125 288.348 307.019
  22 0.5375 287.892 314.141
  23 0.5625 287.742 314.224
  24 0.5875 287.846 313.448
  25 0.6125 288.032 311.549
  26 0.6375 289.148 306.326
  27 0.6625 287.912 306.319
  28 0.6875 288.004 307.866
  29 0.7125 288.548 311.63
  30 0.7375 288.544 316.188
  31 0.7625 288.056 300.207
  32 0.7875 287.36 300.351
  33 0.8125 287.936 298.649
  34 0.8375 287.848 292.961
  35 0.8625 287.638 296.491
  36 0.8875 287.18 290.459
  37 0.9125 288.672 285.791
  38 0.9375 288.666 293.005
  39 0.9625 287.968 291.384
  40 0.9875 287.282 292
25000 40 11520.000000000004
  1 0.0125 288.174 286.654
  2 0.0375 288.306 285.115
  3 0.0625 288.41 284.991
  4 0.0875 288.72 286.349
  5 0.1125 288.516 289.374
  6 0.1375 289.332 294.883
  7 0.1625 287.784 285.522
  8 0.1875 288.322 289.701
  9 0.2125 287.598 297.143
  10 0.2375 288.388 302.581
  11 0.2625 287.504 297.702
  12 0.2875 288.096 302.555
  13 0.3125 287.146 300.812
  14 0.3375 288.444 299.931
  15 0.3625 287.708 297.509
  16 0.3875 287.214 302.821
  17 0.4125 287.008 303.975
  18 0.4375 288.116 308.031
  19 0.4625 287.626 307.324
  20 0.4875 288.678 308.723
  21 0.5125 287.128 321.02
  22 0.5375 287.508 319.036
  23 0.5625 288.412 312.924
  24 0.5875 287.492 315.923
  25 0.6125 287.5 314.384
  26 0.6375 287.248 308.163
  27 0.6625 288.12 306.233
  28 0.6875 288.1 306.201
  29 0.7125 288.092 302.936
  30 0.7375 287.54 299.892
  31 0.7625 288.296 295.596
  32 0.7875 288.448 294.99
  33 0.8125 288.258 293.024
  34 0.8375 288.29 293.621
  35 0.8625 288.924 293.113
  36 0.8875 287.582 287.02
  37 0.9125 288.19 287.017
  38 0.9375 287.746 290.489
  39 0.9625 287.764 288.091
  40 0.9875 288.272 287.807
30000 40 11519.999999999996
  1 0.0125 287.824 288.085
  2 0.0375 287.88 285.77
  3 0.0625 288.006 283.204
  4 0.0875 287.824 288.471
  5 0.1125 287.564 289.555
  6 0.1375 287.742 289.85
  7 0.1625 287.722 285.973
  8 0.1875 287.454 286.686
  9 0.2125 287.368 294.647
  10 0.2375 287.788 293.458
  11 0.2625 287.668 287.395
  12 0.2875 288.456 289.871
  13 0.3125 288.184 297.238
  14 0.3375 287.58 301.281
  15 0.3625 288.196 300.782
  16 0.3875 288.668 301.517
  17 0.4125 287.992 312.154
  18 0.4375 288.07 306.629
  19 0.4625 288.912 310.989
  20 0.4875 288.266 318.107
  21 0.5125 288.586 317.481
  22 0.5375 288.308 314.958
  23 0.5625 288.192 319.949
  24 0.5875 288 307.375
  25 0.6125 288.352 310.891
  26 0.6375 287.784 312.157
  27 0.6625 287.914 310.19
  28 0.6875 289.138 303.436
  29 0.7125 288.4 304.747
  30 0.7375 288.042 300.535
  31 0.7625 287.512 307.145
  32 0.7875 288.184 304.584
  33 0.8125 288.606 297.413
  34 0.8375 287.178 291.963
  35 0.8625 287.872 292.709
  36 0.8875 287.544 289.187
  37 0.9125 287.728 289.06
  38 0.9375 287.96 287.809
  39 0.9625 287.546 285.66
  40 0.9875 287.99 290.52
35000 40 11520
  1 0.0125 288.524 280.704
  2 0.0375 288.456 282.822
  3 0.0625 288.128 278.647
  4 0.0875 288 283.72
  5 0.1125 287.592 289.193
  6 0.1375 288.308 286.708
  7 0.1625 287.812 287.788
  8 0.1875 288.694 291.194
  9 0.2125 287.984 295.974
  10 0.2375 287.2 295.764
  11 0.2625 288.312 289.636
  12 0.2875 288.222 293.152
  13 0.3125 288.268 295.731
  14 0.3375 287.95 299.896
  15 0.3625 288.258 293.908
  16 0.3875 287.668 298.347
  17 0.4125 288.648 306.923
  18 0.4375 287.53 305.111
  19 0.4625 288.104 304.054
  20 0.4875 288.198 307.652
  21 0.5125 287.384 321.403
  22 0.5375 288.16 319.324
  23 0.5625 287.412 317.584
  24 0.5875 288.626 311.914
  25 0.6125 286.426 313.054
  26 0.6375 288.332 309.002
  27 0.6625 287.226 311.954
  28 0.6875 287.814 309.668
  29 0.7125 287.774 316.087
  30 0.7375 288.208 308.188
  31 0.7625 288.13 299.905
  32 0.7875 288.722 298.631
  33 0.8125 288.632 297.22
  34 0.8375 287.696 297.346
  35 0.8625 288.32 300.184
  36 0.8875 287.266 295.784
  37 0.9125 288.406 293.27
  38 0.9375 287.462 292.345
  39 0.9625 287.876 285.928
  40 0.9875 288.272 284.719
40000 40 11520
  1 0.0125 288.454 284.861
  2 0.0375 287.61 286.73
  3 0.0625 287.55 280.76
  4 0.0875 288.102 280.135
  5 0.1125 288.378 283.603
  6 0.1375 288.91 287.269
  7 0.1625 287.602 296.963
  8 0.1875 288.11 290.488
  9 0.2125 288.09 294.83
  10 0.2375 287.822 292.83
  11 0.2625 288.75 301.188
  12 0.2875 287.952 307.336
  13 0.3125 288.34 299.099
  14 0.3375 287.35 295.056
  15 0.3625 288.348 287.473
  16 0.3875 287.946 297.083
  17 0.4125 287.892 304.61
  18 0.4375 287.836 302.031
  19 0.4625 287.892 306.008
  20 0.4875 288.804 308.457
  21 0.5125 287.73 323.742
  22 0.5375 287.738 315.965
  23 0.5625 287.288 315.754
