# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
205000 40 17280.000000000004
  1 0.0125 432.778 288.989
  2 0.0375 432.472 286.985
  3 0.0625 431.938 286.025
  4 0.0875 431.668 285.791
  5 0.1125 432.98 285.036
  6 0.1375 432.494 287.761
  7 0.1625 432.14 289.348
  8 0.1875 432.758 292.061
  9 0.2125 431.55 295.829
  10 0.2375 431.056 295.346
  11 0.2625 432.202 294.968
  12 0.2875 431.77 293.62
  13 0.3125 432.166 303.407
  14 0.3375 431.87 305.034
  15 0.3625 432.014 304.18
  16 0.3875 431.708 300.99
  17 0.4125 432.3 306.478
  18 0.4375 432.624 301.648
  19 0.4625 431.814 306.943
  20 0.4875 432.42 315.367
  21 0.5125 431.318 310.545
  22 0.5375 432.218 314.481
  23 0.5625 432.008 316.998
  24 0.5875 431.622 314.691
  25 0.6125 431.786 318.281
  26 0.6375 431.808 312.433
  27 0.6625 431.78 306.207
  28 0.6875 432.118 315.018
  29 0.7125 432.048 316.002
  30 0.7375 431.296 305.748
  31 0.7625 431.288 300.952
  32 0.7875 430.902 301.121
  33 0.8125 432.224 302.324
  34 0.8375 432.038 297.662
  35 0.8625 431.916 300.695
  36 0.8875 432.06 301.657
  37 0.9125 431.664 291.664
  38 0.9375 432.14 293.286
  39 0.9625 432.772 288.22
  40 0.9875 432.272 290.553
210000 40 17280
  1 0.0125 432.87 290.076
  2 0.0375 431.402 278.757
  3 0.0625 432.098 281.129
  4 0.0875 431.9 289.791
  5 0.1125 432.482 293.289
  6 0.1375 431.446 279.766
  7 0.1625 431.81 281.578
  8 0.1875 431.908 291.636
  9 0.2125 431.238 296.624
  10 0.2375 431.208 294.601
  11 0.2625 432.548 296.919
  12 0.2875 431.698 300.497
  13 0.3125 430.506 306.736
  14 0.3375 432.138 306.268
  15 0.3625 432.072 302.697
  16 0.3875 431.974 305.023
  17 0.4125 431.326 304.851
  18 0.4375 431.35 302.031
  19 0.4625 432.298 298.428
  20 0.4875 432.104 311.857
  21 0.5125 431.458 315.857
  22 0.5375 432.11 314.876
  23 0.5625 432.59 315.627
  24 0.5875 431.884 319.873
  25 0.6125 432.652 305.564
  26 0.6375 432.05 306.732
  27 0.6625 431.52 311.99
  28 0.6875 432.514 312.443
  29 0.7125 431.654 306.494
  30 0.7375 432.242 304.74
  31 0.7625 431.834 304.421
  32 0.7875 432.304 305.173
  33 0.8125 430.776 299.204
  34 0.8375 431.802 307.457
  35 0.8625 433.504 299.731
  36 0.8875 431.908 299.447
  37 0.9125 432.922 302.832
  38 0.9375 432.552 299.72
  39 0.9625 432.224 289.908
  40 0.9875 433.124 289.457
215000 40 17279.999999999996
  1 0.0125 433.366 290.782
  2 0.0375 431.374 284.576
  3 0.0625 432.702 286.071
  4 0.0875 431.968 287.788
  5 0.1125 432.012 285.664
  6 0.1375 432.238 276.14
  7 0.1625 431.348 286.472
  8 0.1875 432.056 294.861
  9 0.2125 432 305.16
  10 0.2375 431.744 298.205
  11 0.2625 432.038 291.982
  12 0.2875 431.79 297.892
  13 0.3125 431.474 298.984
  14 0.3375 432.304 302
  15 0.3625 431.688 308.789
  16 0.3875 431.352 305.915
  17 0.4125 432.696 304.992
  18 0.4375 431.738 305.814
  19 0.4625 432.65 302.291
  20 0.4875 431.99 306.991
  21 0.5125 431.784 313.907
  22 0.5375 431.454 311.387
  23 0.5625 431.89 311.911
  24 0.5875 431.36 315.846
  25 0.6125 432.23 304.873
  26 0.6375 431.802 310.396
  27 0.6625 431.396 314.858
  28 0.6875 432.786 314.2
  29 0.7125 431.712 310.052
  30 0.7375 431.586 307.011
  31 0.7625 431.76 306.749
  32 0.7875 431.728 305.247
  33 0.8125 432.164 298.717
  34 0.8375 432.234 301.805
  35 0.8625 431.588 301.054
  36 0.8875 431.648 294.724
  37 0.9125 432.518 296.722
  38 0.9375 432.37 296.455
  39 0.9625 432.658 294.284
  40 0.9875 432.804 292.646
220000 40 17280
  1 0.0125 432.22 284.765
  2 0.0375 432.01 280.385
  3 0.0625 432.06 282.749
  4 0.0875 431.894 285.642
  5 0.1125 432.766 280.09
  6 0.1375 432.308 286.009
  7 0.1625 432.224 296.445
  8 0.1875 432.052 292.474
  9 0.2125 432.308 289.348
  10 0.2375 432.458 296.207
  11 0.2625 432.174 299.166
  12 0.2875 431.844 302.515
  13 0.3125 432.148 298.015
  14 0.3375 432.136 307.192
  15 0.3625 431.936 300.73
  16 0.3875 431.574 296.434
  17 0.4125 432.382 305.926
  18 0.4375 431.696 305.787
  19 0.4625 431.756 303.364
  20 0.4875 431.632 308.109
  21 0.5125 432.52 314.619
  22 0.5375 431.526 325.588
  23 0.5625 431.142 315.128
  24 0.5875 431.314 311.352
  25 0.6125 431.614 308.135
  26 0.6375 432.924 303.381
  27 0.6625 432.42 315.329
  28 0.6875 431.692 319.902
  29 0.7125 431.77 309.935
  30 0.7375 431.964 304.988
  31 0.7625 431.83 308.609
  32 0.7875 431.52 305.07
  33 0.8125 431.7 302.764
  34 0.8375 432.34 302.046
  35 0.8625 431.746 304.648
  36 0.8875 432.022 298.271
  37 0.9125 432.802 293.198
  38 0.9375 431.608 292.218
  39 0.9625 432.212 293.785
  40 0.9875 431.756 292.648
225000 40 17280.000000000007
  1 0.0125 430.878 278.603
  2 0.0375 432.454 278.642
  3 0.0625 431.002 282.034
  4 0.0875 432.754 283.738
  5 0.1125 431.116 282.65
  6 0.1375 432.158 284.539
  7 0.1625 432.09 292.631
  8 0.1875 432.302 288.308
  9 0.2125 433.098 291.182
  10 0.2375 432.846 297.207
  11 0.2625 431.784 297.155
  12 0.2875 432.458 300.432
  13 0.3125 431.826 304.921
  14 0.3375 431.752 304.391
  15 0.3625 431.676 302.125
  16 0.3875 432.48 305.536
  17 0.4125 432.118 305.674
  18 0.4375 430.936 306.321
  19 0.4625 431.966 303.41
  20 0.4875 431.384 306.691
  21 0.5125 431.986 310.448
  22 0.5375 432.464 315.964
  23 0.5625 431.728 317.303
  24 0.5875 432.39 320.99
  25 0.6125 432.858 314.643
  26 0.6375 430.7 310.305
  27 0.6625 432.412 313.901
  28 0.6875 431.538 316.822
  29 0.7125 431.244 309.774
  30 0.7375 431.424 307.311
  31 0.7625 432.512 311.851
  32 0.7875 432.264 308.791
  33 0.8125 432.574 305.651
  34 0.8375 433.066 304.094
  35 0.8625 431.75 297.947
  36 0.8875 431.832 297.994
  37 0.9125 432.082 297.175
  38 0.9375 432.382 301.501
  39 0.9625 432.026 281.441
  40 0.9875 431.69 283.323
230000 40 17280.000000000004
  1 0.0125 432.554 279.796
  2 0.0375 431.882 273.57
  3 0.0625 431.328 274.938
  4 0.0875 430.726 283.257
  5 0.1125 431.432 286.624
  6 0.1375 432.74 288.463
  7 0.1625 431.92 287.828
  8 0.1875 431.796 292.17
  9 0.2125 432.768 289.577
  10 0.2375 431.892 295.635
  11 0.2625 432.17 290.894
  12 0.2875 432.372 296.491
  13 0.3125 431.45 304.045
  14 0.3375 432.114 298.339
  15 0.3625 431.524 296.81
  16 0.3875 431.402 305.542
  17 0.4125 431.912 310.529
  18 0.4375 431.99 314.256
  19 0.4625 431.94 319.279
  20 0.4875 431.824 307.462
  21 0.5125 432.236 318.613
  22 0.5375 431.322 315.468
  23 0.5625 432.624 316.195
  24 0.5875 431.95 326.031
  25 0.6125 432.51 319.52
  26 0.6375 432.476 314.844
  27 0.6625 431.618 316.631
  28 0.6875 432.926 313.154
  29 0.7125 431.63 314.267
  30 0.7375 431.552 307.832
  31 0.7625 432.454 300.635
  32 0.7875 432.056 299.648
  33 0.8125 432.116 299.033
  34 0.8375 432.616 298.517
  35 0.8625 431.536 295.612
  36 0.8875 432.062 301.827
  37 0.9125 432.616 296.83
  38 0.9375 430.998 292.368
  39 0.9625 432.272 289.597
  40 0.9875 432.694 290.738
235000 40 17280
  1 0.0125 432.008 285.417
  2 0.0375 432.34 273.736
  3 0.0625 431.496 278.999
  4 0.0875 433.116 283.723
  5 0.1125 432.112 283.812
  6 0.1375 431.504 288.946
  7 0.1625 431.926 289.073
  8 0.1875 431.896 294.894
  9 0.2125 431.952 293.413
  10 0.2375 431.872 291.762
  11 0.2625 431.226 292.439
  12 0.2875 432.394 300.761
  13 0.3125 432.58 295.32
  14 0.3375 431.832 301.666
  15 0.3625 431.582 304.832
  16 0.3875 432.43 299.128
  17 0.4125 431.89 308.241
  18 0.4375 430.582 317.601
  19 0.4625 431.492 316.582
  20 0.4875 431.802 316.298
  21 0.5125 433.048 321.451
  22 0.5375 432.102 323.059
  23 0.5625 431.81 323.557
  24 0.5875 431.966 320.175
  25 0.6125 432.746 325.991
