# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
5000 40 8639.999999999996
  1 0.0125 215.534 270.497
  2 0.0375 215.88 275.054
  3 0.0625 215.738 282.12
  4 0.0875 215.604 283.121
  5 0.1125 216.758 282.903
  6 0.1375 215.986 298.804
  7 0.1625 216.316 289.769
  8 0.1875 216.32 297.208
  9 0.2125 216.712 305.564
  10 0.2375 216.77 295.582
  11 0.2625 215.046 292.8
  12 0.2875 216.444 288.226
  13 0.3125 215.672 303.389
  14 0.3375 216.432 298.225
  15 0.3625 216.496 294.187
  16 0.3875 215.504 295.585
  17 0.4125 216.272 303.726
  18 0.4375 216.278 298.869
  19 0.4625 215.166 306.306
  20 0.4875 215.966 319.408
  21 0.5125 216.49 318.429
  22 0.5375 216.062 327.095
  23 0.5625 215.9 316.348
  24 0.5875 215.786 313.284
  25 0.6125 215.426 306.481
  26 0.6375 215.774 310.544
  27 0.6625 216.368 309.923
  28 0.6875 215.766 303.493
  29 0.7125 216.834 303.375
  30 0.7375 216.088 304.901
  31 0.7625 215.846 306.607
  32 0.7875 215.544 305.122
  33 0.8125 216.232 302.198
  34 0.8375 215.492 307.103
  35 0.8625 215.812 302.486
  36 0.8875 216.064 293.235
  37 0.9125 216.462 304.888
  38 0.9375 215.184 315.467
  39 0.9625 216.48 297.593
  40 0.9875 215.496 287.559
10000 40 8639.999999999998
  1 0.0125 216.25 257.893
  2 0.0375 215.702 265.744
  3 0.0625 215.638 271.683
  4 0.0875 215.622 280.499
  5 0.1125 215.576 284.937
  6 0.1375 215.732 297.101
  7 0.1625 216.104 295.373
  8 0.1875 215.784 294.119
  9 0.2125 216.23 298.566
  10 0.2375 215.928 298.145
  11 0.2625 216.392 289.901
  12 0.2875 215.58 304.248
  13 0.3125 216.974 308.019
  14 0.3375 217.456 303.621
  15 0.3625 215.868 307.597
  16 0.3875 216.954 301.669
  17 0.4125 216.156 307.421
  18 0.4375 216.864 314.39
  19 0.4625 215.664 317.292
  20 0.4875 216.386 326.998
  21 0.5125 215.518 341.501
  22 0.5375 216.766 336.692
  23 0.5625 215.856 318.471
  24 0.5875 216.638 311.879
  25 0.6125 214.702 309.137
  26 0.6375 215.328 298.937
  27 0.6625 215.958 305.259
  28 0.6875 216.188 298.329
  29 0.7125 216.142 297.765
  30 0.7375 216.596 299.762
  31 0.7625 216.542 308.446
  32 0.7875 215.208 309.78
  33 0.8125 216.248 312.598
  34 0.8375 216.69 299.011
  35 0.8625 215.794 299.075
  36 0.8875 214.75 294.297
  37 0.9125 216.132 291.993
  38 0.9375 214.788 296.715
  39 0.9625 216.116 286.717
  40 0.9875 215.18 271.138
15000 40 8640.000000000002
  1 0.0125 216.334 260.25
  2 0.0375 216.104 265.078
  3 0.0625 216.846 274.67
  4 0.0875 216.334 283.352
  5 0.1125 215.178 292.86
  6 0.1375 216.014 298.598
  7 0.1625 216.632 297.18
  8 0.1875 215.072 300.176
  9 0.2125 216.402 299.13
  10 0.2375 215.158 305.955
  11 0.2625 215.744 305.611
  12 0.2875 215.996 306.442
  13 0.3125 216.378 304.415
  14 0.3375 216.304 304.027
  15 0.3625 215.722 305.203
  16 0.3875 217.268 305.633
  17 0.4125 217.26 302.774
  18 0.4375 216.3 318.545
  19 0.4625 215.808 315.062
  20 0.4875 216.22 326.287
  21 0.5125 215.014 331.537
  22 0.5375 215.46 331.682
  23 0.5625 215.656 331.613
  24 0.5875 215.424 322.959
  25 0.6125 215.758 317.466
  26 0.6375 216.278 313.521
  27 0.6625 215.932 305.644
  28 0.6875 215.868 301.183
  29 0.7125 216.736 298.286
  30 0.7375 215.74 299.104
  31 0.7625 216.326 297.877
  32 0.7875 215.312 295.579
  33 0.8125 216.57 300.714
  34 0.8375 214.82 297.759
  35 0.8625 215.788 295.965
  36 0.8875 216.276 291.8
  37 0.9125 215.402 293.827
  38 0.9375 215.7 281.283
  39 0.9625 216.472 271.871
  40 0.9875 216.394 269.03
20000 40 8640
  1 0.0125 217.118 264.662
  2 0.0375 216.116 260.671
  3 0.0625 216.552 266.944
  4 0.0875 216.592 269.342
  5 0.1125 215.644 277.451
  6 0.1375 215.25 296.354
  7 0.1625 215.98 309.871
  8 0.1875 216.5 305.401
  9 0.2125 214.98 296.845
  10 0.2375 215.536 294.89
  11 0.2625 216.738 303.855
  12 0.2875 216.562 309.6
  13 0.3125 216.638 295.442
  14 0.3375 216.77 310.052
  15 0.3625 216.044 311.021
  16 0.3875 216.452 309.801
  17 0.4125 216.122 320.584
  18 0.4375 215.9 318.348
  19 0.4625 215.594 311.337
  20 0.4875 216.816 319.287
  21 0.5125 215.87 342.082
  22 0.5375 214.972 337.756
  23 0.5625 216.654 328.738
  24 0.5875 214.488 312.841
  25 0.6125 216.604 318.075
  26 0.6375 214.562 318.587
  27 0.6625 216.156 315.898
  28 0.6875 215.528 308.403
  29 0.7125 216.404 299.098
  30 0.7375 215.93 299.774
  31 0.7625 215.786 299.58
  32 0.7875 215.708 290.169
  33 0.8125 215.462 286.725
  34 0.8375 215.732 289.419
  35 0.8625 215.046 293.941
  36 0.8875 216.562 287.08
  37 0.9125 216.838 288.499
  38 0.9375 215.804 296.984
  39 0.9625 216.394 278.909
  40 0.9875 215.596 270.795
25000 40 8640.000000000002
  1 0.0125 216.736 256.551
  2 0.0375 215.71 252.787
  3 0.0625 216.96 265.575
  4 0.0875 216.282 289.796
  5 0.1125 216.314 293.565
  6 0.1375 215.12 291.209
  7 0.1625 216.348 291.638
  8 0.1875 216.026 290.994
  9 0.2125 215.812 287.935
  10 0.2375 216.324 281.967
  11 0.2625 214.758 292.133
  12 0.2875 216.126 303.103
  13 0.3125 215.87 298.267
  14 0.3375 216.034 304.817
  15 0.3625 215.482 306.48
  16 0.3875 216.862 303.679
  17 0.4125 214.982 317.364
  18 0.4375 216.22 323.36
  19 0.4625 216.85 310.473
  20 0.4875 215.836 326.476
  21 0.5125 216.156 349.27
  22 0.5375 215.618 346.616
  23 0.5625 216.126 341.9
  24 0.5875 214.852 330.795
  25 0.6125 216.464 320.611
  26 0.6375 216.314 318.277
  27 0.6625 215.516 306.569
  28 0.6875 215.372 310.231
  29 0.7125 215.056 307.565
  30 0.7375 216.314 296.183
  31 0.7625 215.93 291.066
  32 0.7875 215.992 290.484
  33 0.8125 216.854 295.76
  34 0.8375 216.114 290.197
  35 0.8625 216.624 291.981
  36 0.8875 215.724 296.092
  37 0.9125 217.256 292.636
  38 0.9375 216.098 288.497
  39 0.9625 215.828 285.911
  40 0.9875 215.14 277.632
30000 40 8640.000000000002
  1 0.0125 216.566 251.695
  2 0.0375 215.806 252.947
  3 0.0625 215.712 262.22
  4 0.0875 215.826 272.729
  5 0.1125 215.698 279.587
  6 0.1375 215.39 285.759
  7 0.1625 216.608 292.069
  8 0.1875 216.938 285.017
  9 0.2125 216.428 292.755
  10 0.2375 215.7 291.112
  11 0.2625 216.198 291.661
  12 0.2875 216.146 301.523
  13 0.3125 215.844 295.436
  14 0.3375 215.922 304.261
  15 0.3625 216.288 301.489
  16 0.3875 216.408 306.064
  17 0.4125 216.334 322.358
  18 0.4375 216.068 329.145
  19 0.4625 215.072 328.937
  20 0.4875 216.404 332.812
  21 0.5125 215.916 339.84
  22 0.5375 214.964 348.524
  23 0.5625 215.606 344.187
  24 0.5875 215.974 327.802
  25 0.6125 216.416 319.804
  26 0.6375 215.328 319.175
  27 0.6625 215.464 321.108
  28 0.6875 215.766 317.039
  29 0.7125 215.948 316.817
  30 0.7375 215.78 303.961
  31 0.7625 215.506 294.694
  32 0.7875 216.432 297.305
  33 0.8125 216.564 291.341
  34 0.8375 215.986 285.849
  35 0.8625 216.39 285.732
  36 0.8875 216.932 290.087
  37 0.9125 215.782 286.108
  38 0.9375 215.972 285.871
  39 0.9625 216.066 288.619
  40 0.9875 215.852 272.033
35000 40 8640.000000000002
  1 0.0125 216.392 249.326
  2 0.0375 216.318 246.434
  3 0.0625 215.804 258.415
  4 0.0875 216.1 268.264
  5 0.1125 216.456 272.321
  6 0.1375 216.142 287.052
  7 0.1625 216.214 282.908
  8 0.1875 215.36 276.234
  9 0.2125 216.502 291.693
  10 0.2375 216.114 294.504
  11 0.2625 216.822 296.068
  12 0.2875 216.266 297.817
  13 0.3125 215.852 304.924
  14 0.3375 216.056 309.291
  15 0.3625 216.386 312.452
  16 0.3875 215.546 317.912
  17 0.4125 215.564 321.251
  18 0.4375 215.35 330.959
  19 0.4625 214.968 325.313
  20 0.4875 215.83 327.338
  21 0.5125 215.434 345.106
  22 0.5375 215.778 355.218
  23 0.5625 216.302 349.58
  24 0.5875 216.636 333.889
  25 0.6125 215.596 329.359
  26 0.6375 217.076 313.162
  27 0.6625 215.19 306.905
  28 0.6875 216.966 318.478
  29 0.7125 216.072 316.085
  30 0.7375 216.424 307.11
  31 0.7625 215.612 303.566
  32 0.7875 215.55 297.198
  33 0.8125 215.782 291.595
  34 0.8375 215.74 289.848
  35 0.8625 215.976 299.285
  36 0.8875 216.01 286.12
  37 0.9125 216.212 288.497
  38 0.9375 216.138 279.576
  39 0.9625 216.052 269.901
  40 0.9875 215.412 259.54
40000 40 8640
  1 0.0125 215.834 250.198
  2 0.0375 216.226 246.882
  3 0.0625 215.722 262.376
  4 0.0875 216.962 272.9
  5 0.1125 216.708 273.729
  6 0.1375 215.722 269.999
  7 0.1625 217.35 282.844
  8 0.1875 215.624 293.329
  9 0.2125 215.778 289.501
  10 0.2375 216.022 297.257
  11 0.2625 215.352 293.674
  12 0.2875 216.566 303.05
  13 0.3125 216.728 302.367
  14 0.3375 216.138 316.358
  15 0.3625 215.682 308.392
  16 0.3875 216.586 313.924
  17 0.4125 215.804 324.444
  18 0.4375 215.212 323.399
  19 0.4625 214.93 329.092
  20 0.4875 216.868 341.459
  21 0.5125 214.822 354.923
  22 0.5375 216.284 346.41
  23 0.5625 215.72 337.78
  24 0.5875 215.982 337.296
  25 0.6125 216.416 322.231
  26 0.6375 215.754 316.144
  27 0.6625 215.7 314.37
  28 0.6875 215.376 310.384
  29 0.7125 216.758 305.073
  30 0.7375 215.294 302.505
  31 0.7625 216.082 297.102
  32 0.7875 216.516 308.329
  33 0.8125 215.944 299.509
  34 0.8375 215.738 291.948
  35 0.8625 215.956 288.091
  36 0.8875 216.01 291.792
  37 0.9125 215.372 290.79
  38 0.9375 216.162 279.262
  39 0.9625 215.57 267.188
  40 0.9875 216.73 259.47
45000 40 8640
  1 0.0125 215.468 248.282
  2 0.0375 215.82 247.273
  3 0.0625 216.392 259.177
