# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
405000 40 11520
  1 0.0125 287.446 242.422
  2 0.0375 288.576 251.096
  3 0.0625 288.83 263.235
  4 0.0875 288.156 270.179
  5 0.1125 288.702 266.446
  6 0.1375 286.612 272.826
  7 0.1625 288.09 283.261
  8 0.1875 288.968 277.365
  9 0.2125 288.422 290.59
  10 0.2375 289.156 299.534
  11 0.2625 287.696 307.686
  12 0.2875 288.14 312.509
  13 0.3125 288.054 309.757
  14 0.3375 287.906 310.657
  15 0.3625 287.53 303.716
  16 0.3875 287.892 322.524
  17 0.4125 288.334 327.011
  18 0.4375 288.478 318.964
  19 0.4625 287.918 331.9
  20 0.4875 287.87 353.192
  21 0.5125 287.048 352.36
  22 0.5375 287.942 348.988
  23 0.5625 286.886 347.117
  24 0.5875 288.29 333.849
  25 0.6125 286.958 323.941
  26 0.6375 287.752 307.553
  27 0.6625 288.62 305.251
  28 0.6875 288.156 303.987
  29 0.7125 287.498 303.073
  30 0.7375 288.566 309.832
  31 0.7625 288.802 300.434
  32 0.7875 288.472 297.637
  33 0.8125 287.864 295.325
  34 0.8375 288.072 277.47
  35 0.8625 287.93 271.868
  36 0.8875 287.92 275.567
  37 0.9125 288.282 277.623
  38 0.9375 287.128 274.105
  39 0.9625 287.662 266.608
  40 0.9875 287.376 254.657
410000 40 11520
  1 0.0125 289.452 249.455
  2 0.0375 287.794 248.419
  3 0.0625 288.374 254.055
  4 0.0875 288.606 267.298
  5 0.1125 288.044 272.842
  6 0.1375 286.338 277.818
  7 0.1625 288.764 281.521
  8 0.1875 287.304 279.442
  9 0.2125 289.03 292.608
  10 0.2375 287.834 305.745
  11 0.2625 286.974 303.507
  12 0.2875 287.318 307.633
  13 0.3125 287.836 310.845
  14 0.3375 288.518 311.186
  15 0.3625 289.1 311.98
  16 0.3875 287.648 316.742
  17 0.4125 289.306 316.346
  18 0.4375 286.528 322.135
  19 0.4625 289.062 330.149
  20 0.4875 288.242 347.715
  21 0.5125 288.416 361.378
  22 0.5375 288.776 362.185
  23 0.5625 287.91 343.004
  24 0.5875 287.686 323.009
  25 0.6125 288.594 323.218
  26 0.6375 288.104 318.894
  27 0.6625 287.278 315.527
  28 0.6875 288.108 312.695
  29 0.7125 288.078 296.499
  30 0.7375 287.598 297.405
  31 0.7625 287.23 291.236
  32 0.7875 286.802 291.794
  33 0.8125 287.682 288.378
  34 0.8375 286.854 280.337
  35 0.8625 286.798 281.913
  36 0.8875 287.634 276.493
  37 0.9125 288.32 269.946
  38 0.9375 288.186 268.07
  39 0.9625 289.372 271.181
  40 0.9875 288.502 262.826
415000 40 11520.000000000002
  1 0.0125 287.482 242.883
  2 0.0375 287.432 240.695
  3 0.0625 286.776 265.701
  4 0.0875 288.626 268.764
  5 0.1125 289.206 278.925
  6 0.1375 287.278 279.943
  7 0.1625 287.516 278.509
  8 0.1875 288.524 277.515
  9 0.2125 288.082 282.371
  10 0.2375 288.344 304.886
  11 0.2625 287.562 301.339
  12 0.2875 288.388 305.123
  13 0.3125 287.69 315.708
  14 0.3375 286.954 308.215
  15 0.3625 289.474 319.461
  16 0.3875 287.528 321.487
  17 0.4125 288.722 323.536
  18 0.4375 287.096 334.16
  19 0.4625 288.898 332.158
  20 0.4875 288.204 337.419
  21 0.5125 287.128 356.331
  22 0.5375 288.246 354.449
  23 0.5625 287.416 334.44
  24 0.5875 286.364 325.943
  25 0.6125 288.386 323.29
  26 0.6375 287.46 317.315
  27 0.6625 288.478 316.145
  28 0.6875 288.434 320.096
  29 0.7125 288.612 303.076
  30 0.7375 289.38 295.238
  31 0.7625 288.086 291.182
  32 0.7875 288.546 286.768
  33 0.8125 287.738 285.144
  34 0.8375 288.244 291.149
  35 0.8625 288.074 281.727
  36 0.8875 288.582 276.097
  37 0.9125 288.262 267.467
  38 0.9375 287.302 274.328
  39 0.9625 287.378 268.695
  40 0.9875 288.102 256.058
420000 40 11519.999999999996
  1 0.0125 287.66 236.36
  2 0.0375 288.912 236.718
  3 0.0625 288.364 268.103
  4 0.0875 289.366 272.053
  5 0.1125 287.76 276.568
  6 0.1375 288.154 271.519
  7 0.1625 287.756 274.186
  8 0.1875 288.28 286.15
  9 0.2125 288.212 293.425
  10 0.2375 287.218 309.145
  11 0.2625 288.122 297.105
  12 0.2875 287.58 304.51
  13 0.3125 287.736 301.489
  14 0.3375 287.572 312.028
  15 0.3625 287.448 315.558
  16 0.3875 287.958 320.609
  17 0.4125 288.038 317.213
  18 0.4375 287.718 327.313
  19 0.4625 288.264 321.942
  20 0.4875 289.196 340.803
  21 0.5125 288.454 359.592
  22 0.5375 287.908 360.686
  23 0.5625 289.376 339.673
  24 0.5875 288.17 331.204
  25 0.6125 288.212 325.793
  26 0.6375 286.422 314.057
  27 0.6625 287.868 310.364
  28 0.6875 287.682 316.188
  29 0.7125 287.208 308.952
  30 0.7375 287.032 292.237
  31 0.7625 288.268 289.224
  32 0.7875 287.776 296.122
  33 0.8125 287.55 289.945
  34 0.8375 287.936 287.651
  35 0.8625 287.612 285.039
  36 0.8875 288.318 281.588
  37 0.9125 288.916 276.707
  38 0.9375 287.026 278.884
  39 0.9625 288.656 266.575
  40 0.9875 288.296 251.571
425000 40 11520.000000000002
  1 0.0125 288.39 246.178
  2 0.0375 288.412 246.043
  3 0.0625 288.138 258.344
  4 0.0875 287.348 266.77
  5 0.1125 288.972 274.418
  6 0.1375 288.352 282.666
  7 0.1625 288.686 280.319
  8 0.1875 286.576 283.164
  9 0.2125 287.8 286.567
  10 0.2375 288.11 294.213
  11 0.2625 287.648 297.138
  12 0.2875 287.734 300.372
  13 0.3125 288.272 315.458
  14 0.3375 288.568 311.475
  15 0.3625 287.8 313.564
  16 0.3875 288.084 314.442
  17 0.4125 287.234 324.597
  18 0.4375 288.594 314.966
  19 0.4625 287.984 328.221
  20 0.4875 287.912 337.924
  21 0.5125 287.594 358.864
  22 0.5375 287.378 352.729
  23 0.5625 287.844 337.793
  24 0.5875 288.564 333.448
  25 0.6125 286.736 336.927
  26 0.6375 288.14 320.298
  27 0.6625 287.912 308.2
  28 0.6875 287.794 311.439
  29 0.7125 287.866 307.3
  30 0.7375 287.506 299.958
  31 0.7625 287.532 294.555
  32 0.7875 287.782 291.595
  33 0.8125 287.92 291.859
  34 0.8375 288.808 289.396
  35 0.8625 288.29 279.29
  36 0.8875 288.552 276.305
  37 0.9125 287.994 281.079
  38 0.9375 288.536 278.929
  39 0.9625 288.15 262.213
