# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
405000 40 17280.000000000004
  1 0.0125 432.6 245.083
  2 0.0375 433.2 242.318
  3 0.0625 431.776 258.599
  4 0.0875 432.18 250.605
  5 0.1125 432.992 271.991
  6 0.1375 432.418 271.081
  7 0.1625 432.76 275.572
  8 0.1875 430.648 280.6
  9 0.2125 432.49 285.613
  10 0.2375 431.604 286.831
  11 0.2625 431.618 292.253
  12 0.2875 431.598 302.32
  13 0.3125 430.522 308.102
  14 0.3375 432.148 315.839
  15 0.3625 430.352 323.369
  16 0.3875 432.422 322.618
  17 0.4125 430.67 323.738
  18 0.4375 431.922 322.034
  19 0.4625 430.45 333.919
  20 0.4875 430.058 346.709
  21 0.5125 431.014 361.626
  22 0.5375 430.852 366.34
  23 0.5625 431.218 342.271
  24 0.5875 431.298 336.853
  25 0.6125 431.524 330.363
  26 0.6375 432.476 318.716
  27 0.6625 432.592 314.807
  28 0.6875 431.802 322.855
  29 0.7125 431.55 311.446
  30 0.7375 431.676 299.729
  31 0.7625 432.116 307.679
  32 0.7875 432.762 297.074
  33 0.8125 432.748 296.586
  34 0.8375 433.19 284.922
  35 0.8625 432.766 284.586
  36 0.8875 433.862 277.873
  37 0.9125 432.206 273.28
  38 0.9375 433.034 268.335
  39 0.9625 433.208 267.38
  40 0.9875 433.678 250.256
410000 40 17280
  1 0.0125 432.188 242.84
  2 0.0375 431.198 238.676
  3 0.0625 431.322 254.873
  4 0.0875 430.746 261.12
  5 0.1125 431.408 268.788
  6 0.1375 431.584 270.97
  7 0.1625 431.276 278.309
  8 0.1875 431.03 285.904
  9 0.2125 430.422 282.347
  10 0.2375 431.126 290.106
  11 0.2625 431.06 287.556
  12 0.2875 430.084 300.648
  13 0.3125 431.78 306.822
  14 0.3375 432.32 313.02
  15 0.3625 431.946 317.815
  16 0.3875 432.792 317.604
  17 0.4125 431.922 327.561
  18 0.4375 431.71 333.366
  19 0.4625 432.566 331.099
  20 0.4875 430.736 348.187
  21 0.5125 433.83 365.083
  22 0.5375 431.342 368.866
  23 0.5625 432.264 340.713
  24 0.5875 432.93 331.265
  25 0.6125 431.33 325.871
  26 0.6375 433.708 321.258
  27 0.6625 434.4 328.121
  28 0.6875 431.784 315.766
  29 0.7125 431.846 306.751
  30 0.7375 432.836 307.005
  31 0.7625 433.176 293.056
  32 0.7875 433.276 293.787
  33 0.8125 432.426 290.426
  34 0.8375 432.01 290.885
  35 0.8625 433.908 284.881
  36 0.8875 432.154 285.509
  37 0.9125 431.28 284.398
  38 0.9375 432.588 262.795
  39 0.9625 432.486 262.025
  40 0.9875 431.21 253.61
415000 40 17279.999999999996
  1 0.0125 432.518 235.301
  2 0.0375 434.288 238.317
  3 0.0625 432.988 254.315
  4 0.0875 432.522 262.46
  5 0.1125 432.684 267.414
  6 0.1375 432.022 275.956
  7 0.1625 433.49 279.302
  8 0.1875 432.36 290.27
  9 0.2125 433.574 283.595
  10 0.2375 433.764 294.416
  11 0.2625 431.718 292.236
  12 0.2875 431.52 295.382
  13 0.3125 432.184 297.025
  14 0.3375 431.662 305.074
  15 0.3625 432.814 320.32
  16 0.3875 432.924 325.665
  17 0.4125 431.53 332.174
  18 0.4375 431.908 334.896
  19 0.4625 432.712 341.227
  20 0.4875 430.864 358.224
  21 0.5125 432.28 356.468
  22 0.5375 430.328 361.378
  23 0.5625 430.92 342.773
  24 0.5875 432.474 342.919
  25 0.6125 431.028 325.351
  26 0.6375 430.518 318.031
  27 0.6625 431.524 322.628
  28 0.6875 430.532 313.596
  29 0.7125 430.794 306.973
  30 0.7375 431.138 307.224
  31 0.7625 431.094 301.688
  32 0.7875 433.742 298.232
  33 0.8125 432.176 291.802
  34 0.8375 432.232 295.464
  35 0.8625 430.502 286.161
  36 0.8875 431.076 275.236
  37 0.9125 431.112 273.93
  38 0.9375 432.942 269.723
  39 0.9625 431.046 258.021
  40 0.9875 432.496 240.732
420000 40 17280
  1 0.0125 433.102 233.008
  2 0.0375 431.918 237.898
  3 0.0625 431.792 251.686
  4 0.0875 431.98 263.112
  5 0.1125 430.516 268.709
  6 0.1375 430.896 283.625
  7 0.1625 431.732 274.129
  8 0.1875 431.724 284.992
  9 0.2125 430.822 290.044
  10 0.2375 430.718 291.579
  11 0.2625 431.084 296.522
  12 0.2875 431.828 303.059
  13 0.3125 432.952 309.749
  14 0.3375 430.984 309.914
  15 0.3625 432.422 321.744
  16 0.3875 431.816 322.798
  17 0.4125 432.23 327.746
  18 0.4375 430.512 332.662
  19 0.4625 430.054 335.755
  20 0.4875 430.646 352.423
  21 0.5125 430.954 362.699
  22 0.5375 431.014 357.5
  23 0.5625 431.348 333.595
  24 0.5875 432.956 340.526
  25 0.6125 433.896 328.653
  26 0.6375 432.348 324.052
  27 0.6625 431.992 314.712
  28 0.6875 433.388 313.401
  29 0.7125 433.588 315.247
  30 0.7375 432.172 309.112
  31 0.7625 432.904 305.172
  32 0.7875 433.426 297.944
  33 0.8125 431.908 288.703
  34 0.8375 433.162 284.704
  35 0.8625 432.344 286.638
  36 0.8875 433.656 274.283
  37 0.9125 431.506 278.462
  38 0.9375 432.922 267.945
  39 0.9625 432.226 253.206
  40 0.9875 432.562 242.557
425000 40 17280
  1 0.0125 432.144 233.445
  2 0.0375 432.818 232.701
  3 0.0625 432.034 249.367
  4 0.0875 433.434 259.167
  5 0.1125 432.268 274.269
  6 0.1375 432.496 285.1
  7 0.1625 433.048 283.981
  8 0.1875 432.724 280.754
  9 0.2125 433.626 286.123
  10 0.2375 432.738 287.775
  11 0.2625 433.314 297.378
  12 0.2875 432.96 307.952
  13 0.3125 433.866 309.516
  14 0.3375 434.276 311.099
  15 0.3625 433.918 319.242
  16 0.3875 432.884 322.882
  17 0.4125 433.88 325.146
  18 0.4375 432.896 333.7
  19 0.4625 432.27 346.727
  20 0.4875 431.798 348.833
  21 0.5125 431.508 354.355
  22 0.5375 431.132 360.794
  23 0.5625 430.582 342.866
  24 0.5875 431.598 335.361
  25 0.6125 431.916 318.486
  26 0.6375 430.288 323.454
  27 0.6625 431.582 322.039
  28 0.6875 431.302 319.296
  29 0.7125 430.534 309.331
  30 0.7375 431.638 300.524
  31 0.7625 430.28 304.621
  32 0.7875 431.746 299.322
  33 0.8125 431.316 286.593
  34 0.8375 429.898 281.261
  35 0.8625 431.136 283.552
  36 0.8875 431.146 279.825
  37 0.9125 430.976 277.913
  38 0.9375 429.95 268.48
  39 0.9625 431.746 254.953
  40 0.9875 430.334 250.587
430000 40 17280
  1 0.0125 432.696 238.484
  2 0.0375 432.56 234.88
  3 0.0625 431.258 252.6
  4 0.0875 431.914 263.45
  5 0.1125 431.41 269.879
  6 0.1375 430.838 283.472
  7 0.1625 432.086 283.644
  8 0.1875 431.83 279.109
  9 0.2125 432.234 292.955
  10 0.2375 430.038 299.593
  11 0.2625 431.032 298
  12 0.2875 430.706 307.142
  13 0.3125 431.226 303.31
  14 0.3375 431.19 308.591
  15 0.3625 432.046 314.949
  16 0.3875 430.69 322.949
  17 0.4125 430.926 323.697
  18 0.4375 430.794 329.439
  19 0.4625 431.36 345.783
  20 0.4875 431.128 346.516
  21 0.5125 430.648 347.931
  22 0.5375 430.674 365.431
